vereador;partido;situacao;votos_zona_norte;votos_total_sp;pct_dos_votos_do_vereador_na_zn;pct_do_total_zn
DANILO DO POSTO DE SAÚDE;PODE;ELEITO POR QP;52967;58676;90,27;5,18
FABIO RIVA;MDB;ELEITO POR QP;38382;44627;86,01;3,75
ANA CAROLINA OLIVEIRA;PODE;ELEITO POR QP;37490;129563;28,94;3,66
LUCAS PAVANATO;PL;ELEITO POR QP;34759;161386;21,54;3,40
SANDRA SANTANA;MDB;ELEITO POR QP;34245;38326;89,35;3,35
DR. MURILLO LIMA;PP;ELEITO POR QP;28723;113820;25,24;2,81
PAULO FRANGE;MDB;SUPLENTE;25104;35338;71,04;2,45
SARGENTO NANTES;PP;ELEITO POR QP;23077;112484;20,52;2,26
GUILHERME CORREA DO SALVE;UNIÃO;SUPLENTE;22710;24042;94,46;2,22
ELISEU GABRIEL;PSB;ELEITO POR QP;20713;30706;67,46;2,02
RUBINHO NUNES;UNIÃO;ELEITO POR QP;19871;101549;19,57;1,94
AMANDA PASCHOAL;PSOL;ELEITO POR QP;19290;108654;17,75;1,89
LUNA ZARATTINI;PT;ELEITO POR QP;17795;100921;17,63;1,74
ANDRÉ SANTOS;REPUBLICANOS;ELEITO POR MÉDIA;16688;41379;40,33;1,63
GABRIEL ABREU;PODE;ELEITO POR QP;16631;58581;28,39;1,63
LUANA ALVES;PSOL;ELEITO POR QP;13875;83262;16,66;1,36
PASTORA SANDRA ALVES;UNIÃO;ELEITO POR QP;13518;74192;18,22;1,32
MAJOR PALUMBO;PP;ELEITO POR MÉDIA;10784;43455;24,82;1,05
ZOE MARTINEZ;PL;ELEITO POR QP;10726;60272;17,80;1,05
CELSO GIANNAZI;PSOL;ELEITO POR QP;10320;57789;17,86;1,01
SONAIRA FERNANDES;PL;ELEITO POR QP;8515;33957;25,08;0,83
ELY TERUEL;MDB;ELEITO POR MÉDIA;8309;35622;23,33;0,81
PROFESSORA  LAINE DANIEL;REPUBLICANOS;SUPLENTE;8248;9203;89,62;0,81
TIÃO BEZERRA;PT;SUPLENTE;8184;9784;83,65;0,80
TRIPOLI;PV;ELEITO POR QP;8150;39039;20,88;0,80
SIMONE GANEM;PODE;ELEITO POR QP;8107;38540;21,04;0,79
ALEXANDRE PIRES;MDB;SUPLENTE;7477;12701;58,87;0,73
JANAINA PASCHOAL;PP;ELEITO POR QP;7210;48893;14,75;0,70
MANOEL DEL RIO;PT;SUPLENTE;7192;30292;23,74;0,70
KENJI PALUMBO;PODE;ELEITO POR MÉDIA;7141;32495;21,98;0,70
AMANDA VETTORAZZO;UNIÃO;ELEITO POR QP;7138;40144;17,78;0,70
RUTE COSTA;PL;ELEITO POR QP;6995;43090;16,23;0,68
HÉLIO RODRIGUES;PT;ELEITO POR QP;6859;40753;16,83;0,67
KEIT LIMA;PSOL;ELEITO POR MÉDIA;6550;27769;23,59;0,64
GILBERTO NASCIMENTO;PL;ELEITO POR MÉDIA;6543;22306;29,33;0,64
SILVINHO;UNIÃO;ELEITO POR QP;6320;53453;11,82;0,62
DIEGO LAUDANO;PRD;NÃO ELEITO;6150;11435;53,78;0,60
ALINE TORRES;MDB;SUPLENTE;6070;17724;34,25;0,59
NABIL BONDUKI;PT;ELEITO POR QP;6042;49540;12,20;0,59
CLÁUDIO FONSECA;PC do B;SUPLENTE;5934;29782;19,92;0,58
BIOTO NPN;PODE;SUPLENTE;5739;14993;38,28;0,56
SILVIA DA BANCADA FEMINISTA;PSOL;ELEITO POR QP;5705;34537;16,52;0,56
TENENTE BAHIA;PL;SUPLENTE;5413;12438;43,52;0,53
ADILSON AMADEU;UNIÃO;SUPLENTE;5296;24759;21,39;0,52
LUIZ PROTEÇÃO ANIMAL;PODE;SUPLENTE;5049;20638;24,46;0,49
JOÃO JORGE;MDB;ELEITO POR QP;5038;36296;13,88;0,49
MARLON LUZ;MDB;SUPLENTE;5035;25847;19,48;0,49
PROFESSOR TONINHO VESPOLI;PSOL;ELEITO POR QP;4755;34735;13,69;0,46
GERALDO DA BANCADA PERIFÉRICA;PT;SUPLENTE;4690;27186;17,25;0,46
THAMMY MIRANDA;PSD;ELEITO POR MÉDIA;4467;50234;8,89;0,44
ADRILLES JORGE;UNIÃO;ELEITO POR MÉDIA;4433;25038;17,71;0,43
AMANDA ZANOTTI;PT;SUPLENTE;4240;5445;77,87;0,41
ELI CORRÊA;UNIÃO;SUPLENTE;4206;24561;17,12;0,41
CESAR AZEVEDO;UNIÃO;SUPLENTE;4173;13432;31,07;0,41
ISAC FÉLIX;PL;ELEITO POR QP;4004;62275;6,43;0,39
IVONE SILVA;PT;SUPLENTE;3995;18878;21,16;0,39
CORONEL SALLES;PSD;SUPLENTE;3854;15682;24,58;0,38
SENIVAL MOURA;PT;ELEITO POR MÉDIA;3852;30480;12,64;0,38
YUDI WATANABE;UNIÃO;SUPLENTE;3830;4232;90,50;0,37
CARLOS BEZERRA JR;PSD;SUPLENTE;3761;37571;10,01;0,37
DELEGADO ROBERTO MONTEIRO;UNIÃO;SUPLENTE;3734;20828;17,93;0,37
DHEISON;PT;ELEITO POR QP;3713;30575;12,14;0,36
RENATA FALZONI;PSB;ELEITO POR QP;3671;30206;12,15;0,36
RAPHAEL LIMA;NOVO;SUPLENTE;3616;21707;16,66;0,35
DR EDSON DA PAIOL;PSB;SUPLENTE;3573;23325;15,32;0,35
DR. CALVO;PDT;NÃO ELEITO;3558;4544;78,30;0,35
RICARDO TEIXEIRA;UNIÃO;ELEITO POR QP;3536;31566;11,20;0,35
DÉBORA LIMA;PSOL;SUPLENTE;3465;23660;14,64;0,34
MARINA BRAGANTE;REDE;ELEITO POR QP;3442;39147;8,79;0,34
GEORGE HATO;MDB;ELEITO POR QP;3299;42837;7,70;0,32
CAROL IARA;PSOL;SUPLENTE;3233;20431;15,82;0,32
CLAUDETE ALVES COLETIVO VOZES;PT;SUPLENTE;3208;15676;20,46;0,31
RENATO BATTISTA;UNIÃO;SUPLENTE;3164;18453;17,15;0,31
ANDRÉ SOARES;UNIÃO;SUPLENTE;3156;17756;17,77;0,31
CRIS MONTEIRO;NOVO;ELEITO POR QP;3095;56904;5,44;0,30
SIMONE NASCIMENTO;PSOL;SUPLENTE;3076;10434;29,48;0,30
JAIR TATTO;PT;ELEITO POR QP;3068;30905;9,93;0,30
NOEMI NONATO;REPUBLICANOS;SUPLENTE;3025;12703;23,81;0,30
LÉO ÁQUILLA;MDB;SUPLENTE;3010;15958;18,86;0,29
SOLDADO MADALHANO;PODE;SUPLENTE;2996;12417;24,13;0,29
CAIO CLEMENTI;PODE;SUPLENTE;2985;15036;19,85;0,29
VANILDA ANUNCIAÇÃO;PT;SUPLENTE;2934;26097;11,24;0,29
ALE DO POSTO;AVANTE;NÃO ELEITO;2903;3576;81,18;0,28
ALESSANDRO GUEDES;PT;ELEITO POR QP;2844;58183;4,89;0,28
RICARDO MUTRAN;PDT;NÃO ELEITO;2831;3451;82,03;0,28
DRA NISE YAMAGUCHI;UNIÃO;SUPLENTE;2701;16554;16,32;0,26
CAPITÃO ALISSON;UNIÃO;SUPLENTE;2581;3283;78,62;0,25
ABOU ANNI;PODE;SUPLENTE;2493;17943;13,89;0,24
DANILO PÁSSARO;PSOL;SUPLENTE;2484;5586;44,47;0,24
LUIZ ALBERTO;MDB;SUPLENTE;2474;8346;29,64;0,24
HENRIQUE GOMES O BABY;MDB;SUPLENTE;2381;12961;18,37;0,23
JOÃO ANANIAS;PT;ELEITO POR QP;2376;33225;7,15;0,23
LAURA KAMIA;PSB;SUPLENTE;2375;3529;67,30;0,23
NETO ZAMBELLI;PL;SUPLENTE;2370;6100;38,85;0,23
CARLOS FERNANDES;SOLIDARIEDADE;NÃO ELEITO;2353;16871;13,95;0,23
PROFESSOR ALÊ;PL;SUPLENTE;2352;2860;82,24;0,23
SARGENTO PAULO DO PROERD;PODE;SUPLENTE;2304;2461;93,62;0,23
BRUNO TATUAPÉ CONCEITO;UNIÃO;SUPLENTE;2233;15967;13,99;0,22
CAIO LUZ;MDB;SUPLENTE;2209;16718;13,21;0,22
PROF BOBY SANTOS;AVANTE;NÃO ELEITO;2164;2226;97,21;0,21
NILO JEFFERSON;SOLIDARIEDADE;NÃO ELEITO;2123;2403;88,35;0,21
RICARDO HOLZ;PODE;SUPLENTE;2123;3494;60,76;0,21
DR. MILTON FERREIRA;PODE;ELEITO POR QP;2080;33493;6,21;0,20
RUBENS TELLES;PODE;SUPLENTE;2001;6277;31,88;0,20
OLEGÁRIO DA COMUNIDADE;PSB;SUPLENTE;1963;2205;89,02;0,19
DRA SANDRA TADEU;PL;ELEITO POR QP;1955;74511;2,62;0,19
CRIS SOARES;PRTB;NÃO ELEITO;1932;2296;84,15;0,19
LUCAS SORRILLO;MDB;SUPLENTE;1851;22897;8,08;0,18
DOUGLAS GARCIA;UNIÃO;SUPLENTE;1816;9357;19,41;0,18
PAULO KOGOS;UNIÃO;SUPLENTE;1810;11263;16,07;0,18
PAULA CALVO;MDB;SUPLENTE;1798;2601;69,13;0,18
FELIPE SERTANEJO;PL;SUPLENTE;1797;14607;12,30;0,18
RINALDI DIGILIO;UNIÃO;SUPLENTE;1783;21183;8,42;0,17
DANIEL JOSÉ;PODE;SUPLENTE;1769;12348;14,33;0,17
WILLIAM GOLD;PRTB;NÃO ELEITO;1765;2704;65,27;0,17
PROFESSOR RODNEY VICENTE;MDB;SUPLENTE;1764;3200;55,13;0,17
AURÉLIO NOMURA;PSD;SUPLENTE;1759;28216;6,23;0,17
MARCELO MESSIAS;MDB;ELEITO POR QP;1741;40079;4,34;0,17
EDINHO SANTANA;PSOL;SUPLENTE;1736;9141;18,99;0,17
SANSÃO PEREIRA;REPUBLICANOS;ELEITO POR QP;1681;42229;3,98;0,16
CHIRLEY PANKARÁ;PSOL;SUPLENTE;1635;9599;17,03;0,16
ELAINE DO QUILOMBO PERIFÉRICO;PSOL;SUPLENTE;1552;15615;9,94;0,15
MARQUITO;REPUBLICANOS;SUPLENTE;1515;4801;31,56;0,15
WALDIR JUNIOR;SOLIDARIEDADE;NÃO ELEITO;1491;11302;13,19;0,15
PROFESSOR MARCELO NASCIMENTO;SOLIDARIEDADE;NÃO ELEITO;1430;3323;43,03;0,14
PATRICIA BELLI;PL;SUPLENTE;1421;1614;88,04;0,14
TENENTE NASCIMENTO;PL;SUPLENTE;1349;8598;15,69;0,13
LEANDRO GIMENEZ;PSDB;NÃO ELEITO;1318;3445;38,26;0,13
LINCOLN BAILHÃO;NOVO;SUPLENTE;1316;1462;90,01;0,13
BETO DO SOCIAL;PODE;SUPLENTE;1308;15081;8,67;0,13
PROFESSORA FLAVIA;PSTU;NÃO ELEITO;1291;2252;57,33;0,13
LUCIANO BARBOSA;PT;SUPLENTE;1289;9087;14,19;0,13
RAIMUNDO BONFIM;PT;SUPLENTE;1285;15235;8,43;0,13
GIL DO CELULAR;PRD;NÃO ELEITO;1242;1261;98,49;0,12
CARLA BILYNSKYJ;PL;SUPLENTE;1228;6953;17,66;0,12
RODRIGO DO MANDATO ANIMAL;PDT;NÃO ELEITO;1221;7298;16,73;0,12
LÉO ROBERTO;MDB;SUPLENTE;1198;2187;54,78;0,12
RAFAEL LABIAPARI;PRTB;NÃO ELEITO;1197;3021;39,62;0,12
JORGE WILSON FILHO;REPUBLICANOS;SUPLENTE;1178;7442;15,83;0,12
ALEMÃO DU GÁS TCHÊTCHETCHEEEE;NOVO;SUPLENTE;1171;1256;93,23;0,11
FIDELES;REPUBLICANOS;SUPLENTE;1152;6196;18,59;0,11
JOSÉ AMÉRICO;PT;SUPLENTE;1150;11358;10,13;0,11
SALOMÃO AUGUSTO;PL;SUPLENTE;1137;1246;91,25;0,11
RODRIGO GOULART;PSD;ELEITO POR QP;1137;58715;1,94;0,11
OLIVEIRA;PSD;SUPLENTE;1136;16550;6,86;0,11
SANDRÃO RZO;PT;SUPLENTE;1134;3985;28,46;0,11
ALESSANDRA;PRTB;NÃO ELEITO;1102;1621;67,98;0,11
COSTA E SILVA;PRTB;NÃO ELEITO;1096;7401;14,81;0,11
ALEXANDRE GENTIL;SOLIDARIEDADE;NÃO ELEITO;1085;3279;33,09;0,11
PR RICARDO ROCHA;PRD;NÃO ELEITO;1076;1151;93,48;0,11
NEON CUNHA;PSOL;SUPLENTE;1070;8224;13,01;0,10
VINI LIMA;PSOL;SUPLENTE;1066;4643;22,96;0,10
CARMEN SILVA;PSB;SUPLENTE;1036;9781;10,59;0,10
LEONARDO GRANDINI;PSOL;SUPLENTE;1032;5583;18,48;0,10
FABIO DO REAGE SP;PL;SUPLENTE;1024;1732;59,12;0,10
DIRCEU CARAMASCHI;UNIÃO;SUPLENTE;1023;17224;5,94;0,10
MARA LEANDRO;PDT;NÃO ELEITO;986;1190;82,86;0,10
NADJA SANTOS;MDB;SUPLENTE;978;1073;91,15;0,10
RAMALHO DA CONSTRUÇÃO;PSB;SUPLENTE;974;9521;10,23;0,10
SILVÃO LEITE;UNIÃO;ELEITO POR QP;962;63988;1,50;0,09
VANESSA DO ROSAS;PP;SUPLENTE;955;1211;78,86;0,09
